0;-1.015541585434880E+02;1.000000000000000E+00
1;-8.450681895590660E+01;2.017273848217651E-01
2;-6.658673645893501E+01;2.691239043983356E-01
3;-4.960155186208929E+01;3.424325239676134E-01
4;-3.773118593983755E+01;3.146035733194039E-01
5;-2.993942303245798E+01;2.602509373321039E-01
6;-2.522943035534919E+01;1.866864455823976E-01
7;-2.247207972467345E+01;1.227011769475116E-01
8;-2.099301061163959E+01;7.045531202722241E-02
9;-2.023198476480233E+01;3.761498714457398E-02
10;-1.986571049275106E+01;1.843751182143339E-02
11;-1.970100535505135E+01;8.360240238068974E-03
12;-1.962952600918531E+01;3.641419860703235E-03
13;-1.960101509359936E+01;1.454563217762358E-03
14;-1.958971648454327E+01;5.767622550841242E-04
15;-1.958569753223665E+01;2.051983239304234E-04
16;-1.958426035968016E+01;7.338406098050129E-05
17;-1.958380068478640E+01;2.347220037419126E-05
18;-1.958365523834200E+01;7.426930397939292E-06
19;-1.958361350702563E+01;2.130930349362512E-06
20;-1.958360176934031E+01;5.993629499341257E-07
21;-1.958359872884085E+01;1.552574423391042E-07
22;-1.958359796915850E+01;3.879176604831300E-08
23;-1.958359779331354E+01;8.979195844521824E-09
24;-1.958359775428720E+01;1.992807812357115E-09
25;-1.958359774619116E+01;4.134091050589983E-10
26;-1.958359774460919E+01;8.078018035202304E-11
27;-1.958359774431537E+01;1.500355736099646E-11
28;-1.958359774426567E+01;2.537601087808947E-12
29;-1.958359774425814E+01;3.845949604058504E-13
30;-1.958359774425752E+01;3.192863822237351E-14
31;-1.958359774425746E+01;2.902603474761236E-15
32;-1.958359774425746E+01;0.000000000000000E+00
